First Name,Last Name,Current Company,Current Title,Timezone,Candidate Tags,Phone Number,Email Address,Social Media Links,Websites,Address,Education
Brooke,Taylor,Wilson LLC,DevOps Engineer,Europe/Berlin,DevOps,028-963-8692x8429,brooke.taylor@example.com,https://linkedin.com/in/brooketaylor,http://www.white.net/,"06811 Lester Walks, Lake Yvonneton, IA 54029",MSc Computer Science
Lori,Horton,Freeman Inc,Full Stack Developer,US/Mountain,Security,485-780-3628x311,lori.horton@example.com,https://linkedin.com/in/lorihorton,https://bowen-cain.com/,"82762 Moore Shore Apt. 745, Port Tricia, NH 55580",BSc Cybersecurity
John,Howard,Smith and Sons,Full Stack Developer,Europe/London,Infrastructure,001-942-113-2221,john.howard@example.com,https://linkedin.com/in/johnhoward,https://dominguez-bowman.com/,"2487 Sarah Hollow Suite 167, Lake Daltonhaven, VA 63799",BSc Cybersecurity
Kathryn,Sims,Monroe-Brown,Site Reliability Engineer,Europe/London,QA,+1-370-504-2566x80548,kathryn.sims@example.com,https://linkedin.com/in/kathrynsims,https://www.elliott.com/,"908 Robertson Springs Apt. 802, Michaelland, MO 47495",BSc Cybersecurity
Taylor,Holland,Lee Inc,Senior Software Engineer,UTC,Security,001-524-649-2119x230,taylor.holland@example.com,https://linkedin.com/in/taylorholland,https://ellison-salas.info/,"453 John Trace, South Susanside, KS 31921",MSc Software Engineering
Brenda,Alexander,"Hull, Porter and Richardson",Network Engineer,US/Central,Data,(600)862-2508x3354,brenda.alexander@example.com,https://linkedin.com/in/brendaalexander,http://www.mcintosh.com/,"57008 Bryant Meadow, Christopherton, MI 49490",MSc Data Science
Shannon,Harding,"Williams, Rodriguez and Hernandez",Technical Architect,Asia/Kolkata,DevOps,+1-290-637-5835,shannon.harding@example.com,https://linkedin.com/in/shannonharding,http://miranda-silva.com/,"3148 Hernandez Cove Suite 728, Danielletown, AZ 89544",MSc Data Science
Cynthia,Turner,Clayton Ltd,DevOps Engineer,US/Mountain,Security,704-525-6128,cynthia.turner@example.com,https://linkedin.com/in/cynthiaturner,http://www.schultz.biz/,"7554 Melanie Valley Suite 327, East Emily, ND 37779",BSc Computer Science
Johnny,Acosta,Reynolds and Sons,Cloud Engineer,Europe/Berlin,Data,965-546-3907,johnny.acosta@example.com,https://linkedin.com/in/johnnyacosta,https://www.horton.com/,"53059 Catherine Lodge, Bradleyland, NJ 57791",BSc Computer Science
David,Fields,Atkins Ltd,Senior Software Engineer,US/Mountain,IT,1477457941,david.fields@example.com,https://linkedin.com/in/davidfields,http://perry.org/,"Unit 9089 Box 8878, DPO AA 49649",BEng Computer Engineering
Wendy,Terry,"Smith, Collins and Fitzpatrick",Senior Software Engineer,US/Eastern,Infrastructure,495.056.7076,wendy.terry@example.com,https://linkedin.com/in/wendyterry,http://erickson-rivera.info/,"728 Jones Corner, New Julianfort, MS 46860",BSc Computer Science
Kevin,Boyle,Mendoza and Sons,Machine Learning Engineer,US/Mountain,Data,582.694.3238x3516,kevin.boyle@example.com,https://linkedin.com/in/kevinboyle,http://www.howard.com/,"2575 Jermaine Tunnel, Bellchester, TN 32753",MSc Computer Science
